,id,input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,target_x,target_y
169,170,-0.855729,1.833093,0.223388,-0.922329,-1.04412,-1.537207,0.18712,1.400384,-1.102281,-0.980509,22.486685,-14.690522
294,295,-0.397357,-0.869219,-0.96643,1.098253,0.508582,-0.311856,-0.798814,-0.659347,0.631744,1.01745,5.561682,-10.423372
275,276,-0.305682,0.707129,0.401861,-0.859186,-1.462155,-1.442949,0.18712,2.315819,-1.341457,-0.980509,25.715405,-12.964188
384,385,1.711159,0.087849,0.818297,-0.038324,0.030828,0.819237,0.680087,0.656592,-0.863105,0.672974,12.265851,-20.04369
317,318,1.986182,0.538235,0.996769,0.277392,0.329424,1.384783,0.257544,0.256089,-0.02599,0.879659,10.13095,-19.014561
664,665,-0.397357,1.326409,1.591678,-1.490618,-1.282997,-1.442949,1.313902,1.057095,-1.401251,-0.567138,19.383206,-16.321981
635,636,-0.67238,-0.756623,-1.204393,1.603399,1.046056,-0.406114,-1.080509,-1.345924,0.87092,-0.084872,3.405435,-6.436491
503,504,1.436135,0.650831,1.115751,-0.54347,-0.626084,-0.029083,1.595597,0.484948,-0.922899,-0.773823,15.441808,-18.407736
222,223,-0.305682,-1.094412,-1.085412,0.277392,0.807179,0.25369,-0.869237,-1.288709,0.57195,0.328499,2.586346,-4.900146
7,8,-0.030658,-0.475132,-0.133557,0.403678,0.150267,1.856072,0.18712,-0.144414,0.512156,0.672974,9.171412,-17.192543
549,550,-0.489031,-1.038114,-0.96643,0.529964,1.404372,0.25369,-1.221357,-0.888206,0.631744,0.535184,5.568745,-10.444087
465,466,-0.489031,-1.15071,-0.371521,1.350826,-0.14833,1.196267,-0.37627,-1.002635,0.930714,0.741869,6.782739,-12.665608
500,501,-1.222428,1.270111,1.770151,-1.616904,-1.402435,-1.160176,1.313902,0.484948,-1.401251,-1.049404,20.233832,-15.887458
477,478,-0.855729,-0.812921,-1.620829,-0.227754,0.389144,-0.783145,-0.939661,-1.231494,1.289477,0.672974,2.353738,-4.442922
225,226,-0.947404,-0.587729,-0.906939,1.413969,1.165495,0.913494,-0.446694,-0.945421,0.631744,0.879659,7.548906,-14.072371
